Legacy_ID,Legacy_Name,Legacy_ID_Consolidaton,New_Name,New_ID
86,Statistics/Mathematics,,Statistics/Mathematics,144
90,Surgeon,,Surgeon,106
,,,Tailor / Garment Repair,168
11,Teacher,,Teacher,57
,,,Teaching,58
52,Technical Writing,,Technical Writing,156
77,Telecommunications,,Telecommunications,157
47,Theatrical Arts (writing/directing/production),,Theatrical Arts (writing/directing/production),18
18,Tourism & Hospitality,,Tourism & Hospitality,19
133,Translation & Interpretation,,Translation & Interpretation,112
139,Transportation,,Transportation,169
99,Urban & Regional Planning,,Urban & Regional Planning,82
,,,Veterinary Medicine,107
103,Video/Computer Game Design,,Video/Computer Game Design,158
83,Volunteer Manager / Recruitment Manager,,Volunteer Manager / Recruitment Manager,125
,,,Waste management services,170
45,Website Design,,Website Design,159
